css-1m051bw,css-qgunke,css-1fnccdf,css-1fnccdf 2,css-chan6m,raw__09f24__T4Ezm,css-1fnccdf 3,css-1lr1m88,css-1lr1m88 2,,,,,,,
Mariana C.,"Los Angeles, CA",1,7,6/28/2019,"To start off this is an absolutely awesome place. I was here on June 28  ,  the reason why I step in to urgent care  was because I had a ear infection  both of  the youth lady tha help me out did beautiful work thank you for everything  excellent service I was very happy how everything came out",3,,,,,,,,,
Daniel D.,"Los Angeles, CA",0,18,4/1/2019,"This place is as great as all the reviews say.My experience:In and out in less than 30 minutesTaken straight to a exam roomDr. Chung gets to the room in 5 mins, nicest doctor.He makes a quick diagnoses, and provides an immediate solution. He even gives me the first dose in the chair so I don't have to wait for the Pharmacy.Sends me on my way.Perfect.",2,1,,,,,,,,
Greta O.,"Los Angeles, CA",0,5,4/4/2020,"Excellent experience! The reception staff were quick, helpful and kind. The doctor was super nice and took his time so I could ask all of my questions. I felt like they really cared about how I was doing not only with my issue but also how I am dealing with coronavirus. It was really nice to be able to ask some questions and make sure I'm doing everything right. Overall it was a great experience and would highly recommend Downtown Urgent Care.",,1,,,,,,,,
Nay M.,"West Hollywood, CA",0,4,7/23/2019,"Dr. Peter Chung and the staff that worked with us this past weekend were phenomenal. They were wonderful from start (providing an accurate and friendly quote over the phone) to finish (providing proper correctly diagnoses of the injury as well as treatment.)Dr. Chung put us at ease with his stellar bedside manner; he was clearly knowledgeable and skilled, as well as polite, considerate and professional. The phone call from the staff to follow up the next day put this practice over the top as an urgent care facility. We simply cannot recommend Dr. Chung and his staff highly enough.",1,,,,,,,,,
Minnie A.,"Los Angeles, CA",0,51,4/6/2019,"unfortunately my husband doesn't have health insurance, we went here for a consultation since he was having terrible dizziness. We went on a Sunday, we didn't have to wait too long, just like 15 min. The doctor was nice, the clinic is super clean, the consultation cost is reasonable, I do recommend this urgent care.",147,,,,,,,,,
Jehan M.,"Los Angeles, CA",13,7,12/4/2019,This has been the best experience I've ever had at a medical facility. I'm amazed at how fast and professional the staff are. I was seen w/in 10 mins and Dr. Chung was extremely thorough and professional.,7,1,,,,,,,,
Anh L.,"Los Angeles, CA",398,34,11/5/2019,"I really wanted to like this place, but they had me wait over an hour to see the doctor. When he finally came in, he was literally in and out within a matter of 3 minutes. The place is sanitary and the staff are decently nice, but an hour wait for what only took a minute to diagnose?  Hm.",7,1,1,,,,,,,
Edwin L.,"Beverly Hills, CA",0,1,12/15/2020,Bad information from staff and assistants. You have to pay anyway and if you has insurance you have to wait 6 to 8 hrs!!!,,,,,,,,,,
Katja Y.,"Downtown Los Angeles, Los Angeles, CA",238,7,7/15/2019,"I had a really negative experience here where in the doctor basically ignored everything I was saying and decided that the ear infection that I've had multiple ear swab petri-dish tests for already and confirmed was bacterial is fictional and in my head and psychosomatic. (I just went here to get a prescription replacement for a lost prescription while traveling because I could not contact my doctor over the weekend) he even suggested I should stop taking the antibiotics I was prescribed when it is very bad for antibiotic resistance to stop taking antibiotics before the full course is over. I have since been to two other doctors, who were appalled at the advice he gave. I would never ever go here again",,4,,,,,,,,
Michele C.,"Los Angeles, CA",1,17,7/1/2019,"This urgent care is a bit of a sham.  They are $30 more than other urgent care office visit charges I've been to and they tried to bully me into tests I didn't want.  I kept telling them I am a cash patient and I am poor so, I can only pay for what is absolutely necessary.  I let the doctor know that I've been through these same symptoms all my life about every couple years and I just needed antibiotics.  She pretty much rolled her eyes and said, well then you should know that bronchitis and pneumonia are treated differently.  When I asked how so, she said, ""we typically give a shot for pneumonia.""  I said, ""I've had it 7 times and never got a shot.""  Finally she said she would have the staff talk to me about cost of X-rays and the streptokinase test I also did not want.  I've had strep,  this was not strept.  She said she would be back.  I asked the Nurses asst  would the doctor be able to read the xrays immediately?  ""Well, yes but we have to send them out for official reading and then get back to you in a couple days"". So basically my answer? ""NO"".  It felt more like a money mill. They left me for 10 more minutes then they came back said I could go.  My prescription and bill is up Front. The Doctor did not come back to see me or to describe anything about the Rx she was giving me. Then admin staff acted as if I was stiffing them while I paid my 160 dollar for the 40 minutes of time I wasted.  The Dr. gave me the same thing every other Urgent care Doc has given me the last 10 times over 30 years.  Advice? Try the one in Arts District next time.  Maybe they are better. ONE nurse's assistant saved this place from a 1 star.   She smiled understandingly when I told her I was broke.  Everyone else acted like I was an inconvenience.  Thank nice assistant person, for looking at me and treating me like a human when I am sick and don't feel well. At least they called me the next day.",3,5,,,,,,,,
Tara O.,"San Francisco, CA",0,3,9/6/2019,DTLA local's do yourself a favor avoid this business at all cost they billed my card for test's that I did not ask for or need after calling them to complain  lady said sorry we seemed to have maid a mistake they ordered 5 different test none of which I ask or needed.,,2,,,,,,,,
ana a.,"Corona, CA",105,62,3/10/2020,Very clean place I felt welcomed and taken care ofThe doctors really care and are very knowledgeable I felt at ease while I was here I'm so happy I found a local urgent care that makes me feelComfortable,11,,,,,,,,,
Vince S.,"Washington, DC",10,9,1/11/2020,"I came in complaining of a cold I had been fighting for more than 2 weeks that had quickly begun worsening in the hours before I came in. I had attributed some of my symptoms (in particular, severe body aches) to side effects of the steroids that another doctor prescribed me a couple of days prior. Dr. Chung told me I could safely stop taking the steroids but astutely observed that I may have been presenting early symptoms of the flu. They administered a couple in-office treatments for short-term relief and he sent me off with a prescription for several medications that I picked up that evening. I woke up in the middle of the night with a high fever and knew immediately that I had the flu once the in-office treatments had worn off. Thanks to Dr. Chung, I had everything I needed to survive the flu. He even prescribed me Tamiflu which definitely quickened my recovery. I was back on my feet after 2.5 days (last time I had the flu this took 4-5 days).I am very happy with my visit here and with Dr. Chung in particular.",5,,,,,,,,,
Sophie A.,"Santa Monica, CA",202,7,9/14/2019,"I typically go to Brentwood Urgent Care as it's closer to my house but while at a friends house downtown I developed a horrible pain in my back and a high fever quickly. I found this urgent care on yelp and went over immediately. The wait on a Friday night was super quick (less than 10 mins), and I was supported by 3 nurses and a doctor. They heard all my concerns, took every test I asked for and then some (including chest x-rays and a double hit of a nebulizer for a nasty cough, a concern of mine as a regular THC vape user). I received a painkiller & anti-inflammatory injection for my back as well as an antibiotic injection, and was able to get all my prescriptions provided to me w extensive dosage details upon check out.As someone who hates needles, they allowed me time to relax and regain my composure before checking out even after the office had closed. In addition, a nurse waited outside with me for my Lyft to pick me up. This facility was immaculately clean, the staff was friendly, and I felt like I was in great care which was a concern of mine in DTLA as someone who typically gets all my medical treatment in Beverly Hills. So appreciative of this staff and facility.",,1,,,,,,,,
barry b.,"Los Angeles, CA",6,9,6/5/2018,"This is it-- The Answer--stop searching and call them to confirm address.  The Dr. and Staff treated my baby girl with such kind, caring, expedient, and professional medical services,  I  am compelled to pass on this information to you:  stop reading yelp reviews and go.  Its actually Urgent Care.  They actually do this.   Thanks to the Dr and staff for treating my sick daughter even in full tantrum, and help us both leave with a smile.",,3,,,,,,,,
Wendy C.,"Los Angeles, CA",51,13,1/13/2018,"I came in after 4 days of fever, a terrible cough, trouble sleeping and breathing, and what I called the super flu. A summary of my visit: - Dr. Chung was not in the office, so a PA saw me instead- Paid $159 with insurance just for the office visit, which lasted less than 30 minutes- No flu swab, no strep test, no tests of any sort were administered- Prescribed Advil and AUGMENTIN - an antibiotic for a sinus infection caused by my fluThe reason I'm giving this urgent care one star is because I am severely allergic to penicillin, a fact that I put on my paperwork and reiterated to each person that came in and saw me. Augmentin is a penicillin antibiotic, meaning I could have gone into anaphylactic shock had I gone ahead and taken the medication I paid for and picked up at the clinic. I went in for some potential tests and fluids, not to be potentially sent to the emergency room for negligently prescribed medication. I got absolutely nothing out of my visit, and I still feel terrible.",26,18,2,,,,,,,
Chris L.,"Los Angeles, CA",308,27,5/25/2018,Dr Chung is the man!I love this place. Needed an inhaler for asthma/bronchitis.. OK.. it is a bad case of BONGchitis.. got an amazing breathing treatment the RX the Dr thought was best for me and was treated like a Prince by the entire staff. I got lucky and went straight from the front desk to a room and had seen the DR less than 15 minutes after walking in. I'm sure it's not ALWAYS that slow - this was a friday evening on a holiday weekend- but man was this a great experience!,,2,2,,,,,,,
Iceis M.,"Los Angeles, CA",0,2,10/23/2020,"I've been meaning to give a review to Downtown Urgent Care, but time has gotten away from me and it has led me to forget. Given the circumstances of how everything is going this year, I feel like I should finally give back to them and post my experience. (Apologies for long backstory). Prior to the visit, I was having some difficulty hearing in my right ear and thought it was just water build-up since I went swimming on that same day. However, a couple days went by and my hearing worsened. I recently graduated from my university and moved to LA to live with family members for a while, but I will still covered by my school until September. The school had weird requirements for me to fill out before I could even go see a doctor and schedule an appointment just to see if they could cover the cost. I figured it shouldn't take more than a day for them to reply, but my ear started to sting after a few more days and it was very bothersome, especially at work. I never heard from the school so I decided to go to Downtown Urgent Care. The receptionists were very nice and welcoming, as was the doctor (whom I wish I can remember). My right ear had ear wax build-up, which led to an infection. So he put in a few drops of liquid medication that would help dissolve the ear-wax before they tried to flush it out. Unfortunately, this had to continue for about 3 days before my ear was finally cleared up. The doctor gave me some liquid ear drop antibiotics to help with the infection that cost little to nothing. Even though my visit was not an emergency and it was minor, I was really happy on how the staff and the doctor handled my situation and took care of me. Thanks!",,,,,,,,,,
Kam A.,"Beverly Hills, CA",0,30,9/4/2019,"This is absolutely the worst experience I've ever had going into s medical or urgent care facility the lady the front at a horrible attitude the whole time I was there I had to wait an hour to see a so called doctor because I was a running  low on my medication  And this is an emergency,  the docter tells  me that because I am not sick it doesn't classify as being an emergency after explaining to them that I need my medication and I am almost out they still refuse to give me a simple prescription and left me hanging stay away from this place  unless you are out of all options!!!",,1,,,,,,,,
Larina L.,"San Diego, CA",152,14,5/30/2018,"I was having dinner in Little Tokyo tonight with my friend who wasn't feeling well.  Halfway through the meal, we decided to take him to an urgent care.  Looked up nearby urgent care centers, and Downtown Urgent Care popped up on the list with decent reviews.We arrived, and my friend filled out paperwork.  Immediately noticed the well organized and very clean space.  He was called approx 5 mins later (which is practically UNHEARD of in an urgent care center or emergency dept).  He was in and out in about an hour, and feeling 100x better.I walked back to my car, and realized I had forgotten my phone in the waiting room.  I sprinted back to the urgent care center (because they had just closed for the night).  Thankfully, the staff and the doctor were still there, and I was able to pick up my phone.  It turns out they even called my friend using my cell phone to come pick up my phone *AND* they even charged my phone battery!  On top of that, I believe the doctor called my friend to give him some follow-up recommendations. By far the BEST urgent care center I've been to.  Great customer service!  Way to go ANH, CARINA, CELIA, JORDAN, & THE DOCTOR who saw my friend!",2,2,,,,,,,,
Rachel L.,"Duluth, GA",71,4,9/18/2019,"Ok so this is so far the best experience I've ever had in any hospital I've been,  from the moment I step in till the end was amazingly patient, I came in because pressure in my chest that won't go for days, I was so worried and nervous and the doctor and nurses take good care of me and was calming me down,  the check in was fast, I was literally there for 45 minutes and got my medication there I didn't need to go anywhere else everything was easy and fair price also for non insurance!! Definitely will recommend if needed for best treatment!! Besides of that it was clean organized and friendly environment!! Thank you for taking care of me !",7,1,,,,,,,,
Kristina L.,"Los Angeles, CA",23,79,1/27/2016,"This has to be the best urgent care center I've ever been to!  Obviously, any reason to go to urgent care sucks but the service, clean environment, and overall courteous manner the whole staff has makes the visit pleasant, speedy, and thorough.  *Free parking here! In DTLA/Little Tokyo that is a miracle.  Especially when you're deliriously sick and stressed out already missing days of work!Normally, if you have any type of cold or flu symptoms, the dr just tells you to rest and get some OTC meds - and that's after you've waited an hour!  I literally walked in here and was whisked away to the exam room, was offered a bottle of water, and had my vitals taken in under 10 minutes.  Gabi (the PA or MA) was very quick and professional.  Felix (another MA or admin) had my insurance verified and explained all of the possible costs to me and then Dr. Chung examined me.  It turns out I had a sinus/ear infection and need antibiotics and a steroid shot.   He patiently answered all of my many questions and had a polite bedside manner. They had my prescription called in, wrote a doctors note for work, gave me a free reusable bag, and I was on my way!  Total time for this urgent care visit from parking in the garage to leaving: 50 minutes.  You won't find a better urgent care center in DTLA I promise you that! :)",9,3,,,,,,,,
Monica F.,"Austin, TX",24,25,12/5/2017,"There's a reason this place has such great reviews. I went in this morning around 9:30am and was immediately taken back to a treatment room. The nurse who took my vitals was really nice. I only waited about 10 minutes for the doctor to come in, but he was amazing. He really listened to my complaints and went through every symptom with me, asking a lot of questions. You can get your prescriptions filled there, too. But they don't accept insurance for that. You have to pay cash or card. I ended up getting my scripts there because I think they would have been cheaper than my insurance, and I was sick and didn't feel like making an extra stop at the pharmacy on my way home. All in all, I think I was only there for about 30 minutes. And the medicine combo that the doc gave me had me feeling better within a couple hours. Love this place. I'm new in town and I definitely made the right choice coming here.",10,4,1,,,,,,,
Eva R.,"Palms, Los Angeles, CA",48,20,3/20/2018,"The staff is AMAZING, wait time was less then an hour. I had been hit by a car the night before and went in as soon as they opened. With no insurance, the prices were reasonable. They quickly administer something for the pain. Dr Peter Chung was the one who took care  of me. He was amazing and made sure I didn't have any broken ribs. Highly recommended this place the doctor was amazing and I was out in no time.",15,2,,,,,,,,
Jose H.,"Los Angeles, CA",1,35,10/20/2019,"This place is very clean professional. Staff very on point, and do their job right. However the reason I am giving 4 stars its because of Doctors. I went there for something specific but I tried to go and see the same doctor again but they dont know when is he coming to work. So if you planing on going for a serious issue go for a well recommended established doctor. Here is just for something simple like flu or medications. Hope this helps those ue",19,,,,,,,,,
Mic P.,"Los Angeles, CA",553,85,5/29/2018,"Had a really great experience here! I've only been to a few urgent cares, but this one was by FAR the best! Facility was spotless, modern, and very comfortable.The staff was extremely polite and friendly, and made me feel like I was a regular patient of theirs. I've never had blood work not hurt, but this time I literally didn't even feel it poke or pull out.Would highly suggest this location and team, and if ever I'm in need of care I will definitely be back.Thank you.",72,1,,,,,,,,
Robert K.,"Saugerties, NY",1,38,5/30/2018,"I was in town from NYC and had to go to urgent care today and chose this from Yelp reviews and the close location to where I was staying. I couldn't have had a better experience here. The staff were all very pleasant and Dr Chung was great. They were very upfront about the pricing which I appreciated, and when they had made an error about the billing they didn't charge me for the costs. That is great service and I appreciate their professionalism.",1,1,,,,,,,,
Sara M.,"Los Angeles, CA",255,13,9/20/2019,"This place is AMAZING. So clean, so professional, so quick. I've never been to such a lovely urgent care facility, and trust me, I've seen my fair share. The staff is extremely lovely to deal with and made me feel very taken care of and comfortable. Highly recommend!!!",,,,,,,,,,
Joycelin T.,"Victorville, CA",0,13,10/1/2019,"Ummmm.....wow. I've never ever ever ever had a GREAT experience at an urgent care. NEVER. I'm so happy. The front desk was so friendly, respectful, and WELCOMING. The medical assistants taking my vitals and charting my symptoms were awesome, and the doctor treating me was just so kind and knowledgeable. I truly felt taken care of. That goes such a long way. Just being there I was feeling so much better. I was treated as a human being and not just as a patient with a set of symptoms from beginning to end. I can't rave about this place more. THANK YOU SO MUCH!!",10,,,,,,,,,
Johnny O.,"Los Angeles, CA",81,10,12/20/2017,"I'm an avid cyclist and had some serious road rash that I was worried might be getting infected.. stopped in around noon without an appointment.. Girls on the phone and at the desk were super professional and polite. I didn't even have to sit in the waiting area.. Adriana walked me straight to an exam room where I was able to fill out my paperwork. I was seen by Dr.Chung who was also extremely welcoming and attentive. I was in and out with my prescription in under an hour! My health insurance hasn't kicked in at my new job so I was worried about how much it was going to cost, but the visit was only 99 dollars, which I gladly paid for peace of mind and just prompt, professional, and polite service. Hopefully I won't be back anytime soon, but this will now be my go to urgent care center!",5,2,,,,,,,,
Luis A.,"South Los Angeles, Los Angeles, CA",1,1,8/22/2020,Very rude receptionists wouldn't recommend anyone to come here aside from just coming in to get COVID tested they made it very complicated to get the results back as if the information that was given to them was false ... very disappointed instead of helping they make it harder SMH,1,,,,,,,,,
Jenna V.,"Los Angeles, CA",67,120,4/12/2017,"Had to make a visit since I came down with the most horrible food poisoning or virus I've ever had. This location is really close to us and my brother had visited here and highly recommended it. I read someone else's review below and these are my thoughts exactly ""Dr. Peter Chung is exceptional.  I wish he had his own private practice,  I would be the first to enroll with him. He's intelligent, attentive, thorough, kind and he takes time to explain everything. He's a unique doctor.""My boyfriend came in with me and he said the same thing as we left. I wish Dr. Chung was taking patients, I would love to have him as  my doctor! I was feeling really horrible from having thrown up all day and just overall gross from being sick and he didn't make me feel rushed or like an inconvenience. I just moved here from NYC and I've been to a lot of doctor's from top hospitals and Dr. Chung is probably the best I've seen. He really makes you feel important,  listens to your health concerns and explains everything so well. The staff was also very friendly and I was seen very quickly - a much better alternative than going to the ER and waiting hours to see a Dr. on call.I hope I don't ever get this again (IT WAS HORRIBLE!) but I will definitely be visiting if I'm ever sick again.",6,8,1,,,,,,,
cristina v.,"Los Angeles, CA",123,40,9/21/2017,Best experience ever!!!!! I walked in and the staff was extremely polite and professional. I was the only patient so I was sitting in a room within 2 min of arriving.I spent a total of 30 min from the time I walked in to the time I walked out. I highly recommend this Urgent care and they have designated free parking (a gem in LA),11,2,,,,,,,,
Courtney C.,"Del Mar, CA",0,11,10/24/2017,This place is great. Very clean and professional. Staff is super nice! I was in and out in less than 30 minutes. I felt heard and cared for. Got my medication before I left. Highly recommend!,,2,,,,,,,,
Sabrina G.,"Southern California, CA",2,62,3/19/2019,"Clean space, competent doctor, I was seen relatively quickly. Parking tip: there's gated parking next door. Looks closed, but if you drive up and say you're there for urgent care they'll let you in.",,1,,,,,,,,
Anna G.,"Los Angeles, CA",175,4,9/29/2017,"Wow, I never had better care. I have been here twice since I moved to DTLA, I love the staff and the doctors I had, my first visit was great and this past week was even better!  They were thorough, attentive, and THEY FILL ANTIBIOTIC PRESCRIPTIONS IN THE OFFICE!!!! I came in just before close on a weekday, got to see Dr. Chung in good time.  I felt the staff was highly competent and the facility is new, clean with no smells.  They offered me fridge cold water or room temperature water while I waited, and Dr. Chung was very considerate of my feminine issues. I walked out with my prescription medication and the comfort of knowing Dr. Chung and the nurses went the extra mile to give me a pelvic exam using the right size equipment on me. They were very kind throughout the exam and I got a call today from Dr. Chung himself to say my results were healthy, no worries :) FYI**They will be relocating a little further up the street, don't miss it!",7,2,,,,,,,,
Jill W.,"Los Angeles, CA",263,8,1/30/2017,I recently came down with food poisoning and visited Downtown Urgent Care. I had a great experience with Dr. Chung and the nurses as they were very attentive. The facility was clean and everyone was professional. I have been in LA for over 3 years and knew if I ever needed to visit an urgent care I would try this place- I was not disappointed! Parking is very easy and convenient-SO MAJOR! It is located in the same building and you just need to let the parking attendants know you are there to visit the urgent care and it is FREE. I bought my prescription at the office but recommend going to a pharmacy if you aren't in a rush- much cheaper. They will inform you that one is located across the street. Would definitely recommend and visit again (but hopefully won't need to *knocks on wood*),,7,,,,,,,,
Cole J.,"Los Angeles, CA",474,15,1/5/2017,"I visited last November--I strained a muscle in my thoracic spine working out, over the weekend it seemed to be healing slowly. However, the night before going into urgent care, I must have twisted in my sleep and tweaked the muscle. I woke up the next morning shaking in pain and couldn't sit up or roll over without excruciating pain. My roommate basically carried me to urgent care right when it opened. The staff were very friendly--especially the nurse who helped me out. Once she took me to the room, I had to wait around 30 minutes to see Dr. Ghurabi, which seemed like forever when you feel like your spine can't support the weight of your body. When the doctor came in, he asked me standard questions, I explained to him everything that happened, and then he asked me to lie down. I told him that if I lied down, I might never get back up because going from lying to sitting is the most painful. He said he would help me up, had me lie down for all of 10 seconds, and then jerked me up by my arms. In all actuality, him jerking me up was probably less painful than me slowly sitting up on my own, but a warning would have been nice.He then proceeded to do very painful PNF stretching on me, having me twist and bend against his resistive force to stop the muscle from spasming. As a personal trainer, I didn't think doing such high volume stretching on a strained muscle would be a good idea, but he is the doctor. After one minute of even more excruciating pain, nothing had changed and he told me he'd give me a shot in the butt for $30 and a muscle relaxer prescription. I got my shot and my muscle relaxers, slept for two days, and was good as new.The real fun begins with the billing. This whole time--even though I was in pain--I asked specific questions about the billing. I have a very high deductible, so I knew nothing would be covered. They still wanted to take my insurance card to double check--they called my insurance and they were told the same thing that I told them. I was told that my visit would be $150, and when the doctor said he wanted to give me a shot, I asked how much that would be too. He went away for another 15 minutes to double check the price, and told me $30. That was a small price to pay at that moment for the pain I was in. I paid $180 and thought I was done with the visit.Yesterday, I received a statement for another $33.80. Obviously, I was very confused--especially since on the statement it makes no mention of the $180 that I paid in November.I called the Urgent Care and the receptionist--who was actually very sweet--did not understand why I was so confused and kept explaining to me what a deductible meant. Finally, she explained to me that the $150 and $30 that I was quoted were ESTIMATED prices--pending insurance coverage--and that they make sure every patient is fully aware of that. I explained that this was never relayed to me, that I knew my insurance wouldn't cover anything, and that I would have preferred to have known this and paid the full price in November. We went back and forth, and then she gave me a billing number to contact. Billing basically relayed the same information.I've been to urgent care many times and I've never gotten such a blatant dishonesty regarding pricing--I've always just been given a flat rate and paid that. I threw out my full receipts last week. I'm sure on the papers I signed that there is some disclaimer about estimated pricing, however, when you're in so much pain it's hard to read everything that you're signing. When I showed so much concern about the price of the visit and the price of the shot, you would have think that this would have come up.Again, I loved the nurse who treated me, and the facility was very nice, but not worth the headache of dealing with poorly explained billing.",4,7,1,,,,,,,
Kristen M.,"Los Angeles, CA",0,29,1/27/2017,"The doctor was amazing and really comforting! I wish this wasn't just urgent care - I'd love to go here for all my medical needs!TIP - if they're giving you antibiotics, I'd suggest not getting them in office because they're more expensive that way! (if you can wait of course) They just gave me a write up and I went to CVS to pick it up - $2 vs. $25!",9,5,,,,,,,,
Arlene B.,"Honolulu, HI",127,5,11/29/2017,"Recently moved to LA...Been here twice and each time I'm in and out within 35 min. I've seen Dr.Chung both times and he's nothing short of professional and thorough. I honestly don't want to bother finding a regular physician cause I'd rather see him all the time! Clean, free parking, and good service from the minute you walk in and out.",,1,,,,,,,,
Karyn K.,"Los Angeles, CA",0,3,7/7/2019,"Went in on a Sunday morning with backache and I was in and out in less than an hour!  Pricing was amazing, staff was excellent, and Dr. Chung was phenomenal!!!",,,,,,,,,,
Lauren C.,"Los Angeles, CA",25,23,11/14/2016,"I rarely write reviews and when I do, it's because the experience was either exceptionally wonderful or exceptionally awful.  I cannot say enough great things about Downtown Urgent Care and Dr. Chung! Here's my story... Last week, I had developed some kind of bronchial infection that resulted in countless hours of coughing to the point of gagging, and it always got worse when I would try to sleep. By Thursday, I was extremely sleep-deprived and couldn't take it anymore, so I went to the Cedars Sinai Urgent Care in Culver City where I work and had visited before.  The doctor assured me that I did not need antibiotics and prescribed cough medicine with Codeine, Flonase, and Claritin-D.  I mentioned that my tongue had also become oddly very sensitive with a sort of burning sensation.  Oh, it's probably nothing.  None of the medicine helped in the slightest! I was a zombie by Sunday afternoon!  While on route to Ralphs downtown, I suddenly remembered that there's an Urgent Care place in Little Tokyo - my husband had gone and had a very positive experience! - so I decided the supermarket could wait!  Everyone was very courteous and professional.  I probably had to wait about 20-25 minutes total before I saw the doctor.Let me start by saying I wish Dr. Chung could be my primary! He listened to my concerns and took the proper amount of time to examine me.  He even observed that I may have a thyroid condition, which does happen to run in my family.  I felt well cared for by him!  He ended up giving me prescriptions for an antibiotic, an anti-inflammatory, an inhaler, and a topical cream for my tongue. He also told me to brush my teeth with baking powder and rinse with biotene.  I did everything as instructed and, while I still had some coughing, I finally got some sleep.  In the morning, I felt 85% better!!!  This is now my go-to urgent care place when I am not feeling well.  Wish I had gone the moment I knew a bronchial infection was coming on!  I wasted a lot of time and lost a lot of sleep not seeing the right doctor!!!PS - I even got a voicemail from them this morning wanting to check in with me to make sure I was OK!!! GREAT SERVICE!!!",1,6,2,,,,,,,
Eleanor B.,"Portland, OR",44,26,11/16/2016,"1) free, convenient parking2) staff is friendly and communicative 4) virtually no wait time3) Dr. Chung was incredible. I've just moved here from NYC and don't have a primary care doctor yet. He not only addressed the issue I came in for, but was incredibly knowledgable about a longstanding medical issue I have (that other doctor's have not even addressed) and provided some suggestions for that. He also then provided some recommendations for some primary care physicians since I am new to the city.If I'm ever need a pinch and don't have time to wait for a doctor, I'll be coming back here.",1,6,2,,,,,,,
Luigi R.,"Downtown Los Angeles, Los Angeles, CA",0,2,10/4/2019,Came in to the facility over the weekend. The facility was very clean and the staff was very friendly. Dr. Martell was incredibly nice and very thorough. She took the time to explain everything she was doing and what she was checking for.,,4,,,,,,,,
Narek K.,"Granada Hills, CA",0,8,3/1/2019,"I took my children here for a check up, they were so polite, i really loved how the nurses gave my 4 year old a shot and he didnt even blink. Im just glad my kids were distracted by the girls trying to make funny faces so they wouldnt be afraid of the needle! Really awsome how they did the same to me haha! Wonderful visit see you in 6 months for another checkup!",3,1,,,,,,,,
Garrett L.,"Los Angeles, CA",92,25,1/5/2017,"Great experience.  Staff are friendly and professional.  Dr. Chung is super pleasant.  I'm so grateful they're in downtown.  Processed my insurance easily and I was out of there.  Good neighborhood too...***UPDATE*** Got a call the next day to follow up and see how everything was, and if I had any questions.  Excellent service.",2,3,,,,,,,,
Verica C.,"Los Angeles, CA",0,2,6/27/2018,"When you enter the facility, they immediately take you in. No hassle, no crowds, no issues. The place is spacious, clean and fresh. They make you feel as if you were the only patient there! The wait on a doctor is minimal. By the time they take your vitals, the doctor is already there. Dr. Chung is an amazing doctor. He asks just the right questions to narrow down the diagnosis. He instantly makes you feel taken care of, your worries subside and you already feel better. Instructions on medication are clear and precise. And finally, the facility will actually give you a call the following day to see how you're doing! If you happen to be sick and are looking for a professional, efficient, and kind doctor - look no further.",,,,,,,,,,
Jacqueline G.,"Long Beach, CA",62,3,4/25/2019,"Oh my goodness!   I visited this clinic recently due to a bout of vertigo.  Within 45 seconds of my arrival I was placed in an examination room.  Within 10 minutes of my arrival, I spoke with the medical assistants.  I was seen by Dr. Chung within 20 minutes of my arrival.  I left the clinic 20 minutes later.  I was in and out of the clinic in under AN HOUR!!!!  The doctor and staff were professional and friendly.  The facilities were immaculate.  The lobby and waiting area (although I didn't really wait) were pristine.  Now, I'm sure if my issues were more serious, it probably would have taken more time.  BUT, the Doctor and staff were so efficient that it would not matter!!!!  If you are ever in need of Urgent Care  (hopefully you won't ever be!) and are in the DTLA area, you should definitely visit THIS clinic.",1,,,,,,,,,
Patricia S.,"Los Angeles, CA",0,16,2/4/2020,"I must say that Downtown Urgent Care is the best  ever!!! I am so grateful to have had the experience of being treated by such caring precise cutting -edge doctor ..I highly recommend Dr, Hsu who treated me last Friday night for a severe leg pain !! Dr. Hsu was so awesome , extremely kind , caring and he was able to truly help me and is just so sweet ! He also is extremely knowledgeable in diagnosing what I have and he made such a great suggestion to help me with the pain --I also want to mention that the front desk receptionists are really sweet and helpful too , and I must commence Medical Assistant Erika on being absolutely wonderful and she really truly cares about each and every patient!! She is the best !! I want to thank Downtown Urgent Care for being such a fantastic Urgent Care Clinic -this Clinic really rocks and it has cutting-edge technology and it's so clean and has such a lovely soothing atmosphere-also they provide their own in-house pharmacy and prescribe you your much needed meds right there!! Also their visit price is really reasonable, especially since at this time I am in between insurance-all I can  Say is Thank you Dr. Hsu for being such a warm , knowledgeable caring physician and I want to give a big hug to the fabulous Erika -she's so caring and really helps you as a patient!! I now know I have finally found the Best Ever Urgent Care center and I will always be back when I do get sick !! This place is the best !!",,1,,,,,,,,
Tashawnda B.,"Los Angeles, CA",170,6,4/18/2019,"Oh my gosh !!! I think this is the best Urgent Care I've been to . When I first walked in I was greeted with a lovely smile by Ana . Ana explain how the payment process goes before I went in the back to see the doctor . I was so worried about the cost , but I lucked out and didn't have to pay anything . I was really happy about that . I was in and out real quick , the whole staff from the receptionist to the doctor was so friendly . They didn't judge me , because I was so embrassed about my situation . They even called me the next day to see how I was doing !!!!! I never been to an Urgent Care where they did that ! Hopefully I won't be needed to go to a urgent care any time soon .... but if I have to I definitely will be coming back here !!",5,,,,,,,,,
